Date,Visitor/Neutral,PTS_visitor,Home/Neutral,PTS_home
Sat Feb 12 2022,Los Angeles Lakers,115,Golden State Warriors,117
Sat Feb 12 2022,Orlando Magic,105,Phoenix Suns,132
Sun Feb 13 2022,Atlanta Hawks,95,Boston Celtics,105
Sun Feb 13 2022,Minnesota Timberwolves,129,Indiana Pacers,120
Mon Feb 14 2022,Detroit Pistons,94,Washington Wizards,103
Mon Feb 14 2022,Sacramento Kings,85,Brooklyn Nets,109
Mon Feb 14 2022,Oklahoma City Thunder,127,New York Knicks,123
Mon Feb 14 2022,San Antonio Spurs,109,Chicago Bulls,120
Mon Feb 14 2022,Portland Trail Blazers,122,Milwaukee Bucks,107
Mon Feb 14 2022,Toronto Raptors,90,New Orleans Pelicans,120
Mon Feb 14 2022,Orlando Magic,111,Denver Nuggets,121
Mon Feb 14 2022,Houston Rockets,101,Utah Jazz,135
Mon Feb 14 2022,Golden State Warriors,104,Los Angeles Clippers,119
Tue Feb 15 2022,Cleveland Cavaliers,116,Atlanta Hawks,124
Tue Feb 15 2022,Dallas Mavericks,107,Miami Heat,99
Tue Feb 15 2022,Boston Celtics,135,Philadelphia 76ers,87
Tue Feb 15 2022,Indiana Pacers,119,Milwaukee Bucks,128
Tue Feb 15 2022,Charlotte Hornets,120,Minnesota Timberwolves,126
Tue Feb 15 2022,Memphis Grizzlies,121,New Orleans Pelicans,109
Tue Feb 15 2022,Los Angeles Clippers,96,Phoenix Suns,103
Wed Feb 16 2022,Atlanta Hawks,130,Orlando Magic,109
Wed Feb 16 2022,Detroit Pistons,112,Boston Celtics,111
Wed Feb 16 2022,Washington Wizards,108,Indiana Pacers,113
Wed Feb 16 2022,Brooklyn Nets,111,New York Knicks,106
Wed Feb 16 2022,Sacramento Kings,118,Chicago Bulls,125
Wed Feb 16 2022,Portland Trail Blazers,123,Memphis Grizzlies,119
Wed Feb 16 2022,Toronto Raptors,103,Minnesota Timberwolves,91
Wed Feb 16 2022,San Antonio Spurs,114,Oklahoma City Thunder,106
Wed Feb 16 2022,Houston Rockets,121,Phoenix Suns,124
Wed Feb 16 2022,Denver Nuggets,117,Golden State Warriors,116
Wed Feb 16 2022,Utah Jazz,101,Los Angeles Lakers,106
Thu Feb 17 2022,Miami Heat,111,Charlotte Hornets,107
Thu Feb 17 2022,Washington Wizards,117,Brooklyn Nets,103
Thu Feb 17 2022,Dallas Mavericks,125,New Orleans Pelicans,118
Thu Feb 17 2022,Philadelphia 76ers,123,Milwaukee Bucks,120
Thu Feb 17 2022,Houston Rockets,111,Los Angeles Clippers,142
